,Gap between chat initiation,Last Chat Duration,Partial Chat Overlap?,Duration of break before chat,Break before chat?,Overlap time with previous chat,Num ongoing chats before response,Previous chat claim_time_in_minutes,Previous chat response_time_in_minutes,Previous chat interaction_time_in_minutes,Previous chat resolution_time_in_minutes,Previous chat handle_time_in_minutes,Previous chat message_count,Previous chat avg_message_count_in_exchange,Previous chat exchange_count,Previous chat avg_duration_per_message,Previous chat avg_duration_per_exchange,Repeat Technicians,Times already dealt with technician on day,Num chats handled so far,State change,Main State,Last Chat Duration Adj,Last Chat Duration beore response,Duration of last nonstop session before response,Dedicated Operator,time_since_requesters_last_request_mins,Chat for first time in day,Subsequent chat in day,Never chat before,Chat before,"Chat for first time in day, never chat before","Chat for first time in day, chat before","Subsequent chat in day, never chat before","Subsequent chat in day, chat before",Total duration of chat with tech before,State_QLD,State_SA,State_TAS,State_VIC,State_WA,REPORT DAY_Monday,REPORT DAY_Thursday,REPORT DAY_Tuesday,REPORT DAY_Wednesday,HOUR_10 AM,HOUR_11 AM,HOUR_12 PM,HOUR_2 PM,HOUR_3 PM,HOUR_4 PM,HOUR_5 PM,HOUR_6 PM,HOUR_7 AM,HOUR_8 AM,HOUR_9 AM,owner_owner10,owner_owner11,owner_owner12,owner_owner13,owner_owner14,owner_owner16,owner_owner17,owner_owner3,owner_owner4,owner_owner6,owner_owner7,owner_owner9,requester_requester10,requester_requester100,requester_requester101,requester_requester102,requester_requester103,requester_requester104,requester_requester105,requester_requester106,requester_requester107,requester_requester108,requester_requester109,requester_requester11,requester_requester110,requester_requester111,requester_requester112,requester_requester113,requester_requester114,requester_requester115,requester_requester116,requester_requester117,requester_requester118,requester_requester119,requester_requester12,requester_requester120,requester_requester121,requester_requester122,requester_requester123,requester_requester124,requester_requester125,requester_requester126,requester_requester127,requester_requester129,requester_requester13,requester_requester131,requester_requester132,requester_requester133,requester_requester134,requester_requester136,requester_requester137,requester_requester138,requester_requester139,requester_requester14,requester_requester140,requester_requester141,requester_requester142,requester_requester143,requester_requester144,requester_requester145,requester_requester146,requester_requester147,requester_requester148,requester_requester149,requester_requester15,requester_requester151,requester_requester152,requester_requester153,requester_requester154,requester_requester155,requester_requester156,requester_requester158,requester_requester159,requester_requester16,requester_requester160,requester_requester161,requester_requester162,requester_requester163,requester_requester164,requester_requester165,requester_requester166,requester_requester167,requester_requester17,requester_requester19,requester_requester2,requester_requester20,requester_requester21,requester_requester22,requester_requester23,requester_requester24,requester_requester25,requester_requester27,requester_requester28,requester_requester29,requester_requester3,requester_requester30,requester_requester31,requester_requester32,requester_requester33,requester_requester34,requester_requester35,requester_requester36,requester_requester37,requester_requester38,requester_requester39,requester_requester4,requester_requester40,requester_requester42,requester_requester43,requester_requester44,requester_requester45,requester_requester47,requester_requester48,requester_requester50,requester_requester51,requester_requester52,requester_requester53,requester_requester54,requester_requester55,requester_requester56,requester_requester57,requester_requester58,requester_requester6,requester_requester60,requester_requester61,requester_requester62,requester_requester63,requester_requester64,requester_requester65,requester_requester66,requester_requester67,requester_requester68,requester_requester69,requester_requester7,requester_requester70,requester_requester71,requester_requester74,requester_requester75,requester_requester76,requester_requester77,requester_requester78,requester_requester79,requester_requester80,requester_requester81,requester_requester82,requester_requester83,requester_requester85,requester_requester86,requester_requester87,requester_requester88,requester_requester9,requester_requester90,requester_requester91,requester_requester92,requester_requester93,requester_requester94,requester_requester95,requester_requester96,requester_requester97,requester_requester98,requester_requester99,Sum of SLA Pass
13,1.800000002,36.09999999,1,0.0,0,0.0,2,0.0666,2.25,37.6,37.65,37.5166,27,1.5,18,1.337037037,2.005555555,0,1,19,0,1,43.319999988,2.3400000026,17.93333333,1,69.6968,0,1,0,1,0,0,0,1,1.033333334,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,18.6,0.0,1,0.0,0,15.69999999,2,3.6333,17.174999999999997,11.45,33.4166,7.8,3,1.5,2,0.0,0.0,0,1,18,0,1,44.589999987000006,0.0,36.53333333,1,233.6039167,0,1,0,1,0,0,0,1,11.81666667,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,79.00000001,15.38333334,0,95.425000005,1,0.0,0,1.0666,2.6833,18.0833,18.1166,17.0,11,1.571428571,7,1.398484849,2.197619048,0,0,2,0,1,15.38333334,15.38333334,15.38333334,1,1185.6203,1,0,0,1,0,1,0,0,0.0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
20,20.68333334,5.900000007,0,22.174999995,1,0.0,0,0.4333,1.5333,7.45,9.1,7.0,8,1.333333333,6,0.737500001,0.983333334,0,0,6,0,1,5.900000007,5.900000007,5.900000007,1,7251.219233,1,0,1,0,1,0,0,0,0.0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
21,36.21666667,13.25,0,34.450000005,1,0.0,0,0.0666,2.3,15.55,16.8333,15.4666,7,1.75,4,1.892857142,3.312499999,0,0,7,0,1,13.25,13.25,13.25,1,1890.10145,1,0,1,0,1,0,0,0,0.0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
22,5.583333329,8.483333336,1,0.0,0,2.900000007,1,3.4666,4.15,12.6333,12.65,9.1666,4,1.333333333,3,2.120833334,2.827777779,0,0,1,0,1,8.483333336,5.583333329,5.583333329,1,2715.567683,1,0,0,1,0,1,0,0,0.0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
24,30.71666667,16.18333333,0,21.80000001,1,0.0,0,0.55,0.8666,17.05,18.8,16.5,10,1.25,8,1.618333333,2.022916667,0,0,3,0,1,16.18333333,16.18333333,40.88333333,1,3836.268517,1,0,1,0,1,0,0,0,0.0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
27,33.56666667,11.53333334,0,22.03333333,1,0.0,0,0.3,4.2249,14.35,16.4333,14.05,8,1.333333333,6,1.441666667,1.922222223,0,0,9,0,1,13.840000008,12.686666674000001,11.53333334,1,4053.79425,1,0,1,0,1,0,0,0,0.0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,9.166666662,2.399999995,0,10.149999999,1,0.0,0,0.05,1.3166,3.7333,6.7833,3.6666,15,1.363636364,11,0.16,0.218181818,0,0,8,0,1,2.399999995,2.399999995,2.399999995,1,1607.57675,1,0,0,1,0,1,0,0,0.0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
30,15.7,13.0,0,4.0500000045,1,0.0,0,0.3,0.9,13.9166,14.2666,13.6,6,1.2,5,2.166666667,2.6,1,1,9,0,1,13.0,13.0,13.0,1,15.55268333,0,1,0,1,0,0,0,1,13.0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
31,31.51666667,23.21666667,0,8.300000002,1,0.0,0,0.3166,1.5998999999999999,24.2666,27.8333,23.95,12,1.2,10,1.934722222,2.321666667,0,0,13,0,1,27.860000003999996,27.860000003999996,23.21666667,1,1267.9674,1,0,0,1,0,1,0,0,0.0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
